Organization,Open/Closed,Relevance,"LOI DEADLINE
MM/DD/YEAR",Application Deadline (MM/DD/YEAR),Deadline Comments,Type of Funding,FUNDING USD Min RANGE,FUNDING USD Max RANGE,AVERAGE FUNDING,Funding Comments,2026 Notes,Relationship Status (Select all that apply),Relevant Contacts and Contact Information ,Where is contact from?,Who updated last,Date Last Updated,Internal Tag (Importance),"Funding Geography (i.e. NYC, FRANCE, INTERNATIONAL, ALL)",All,C3 Lab,CCA,UEHL,General Support,Fellowship,Internships,YAC,Workshops,Salons,Stories,HII Potential Programs Match,What they Fund,Who they fund (examples of 3-4 past grantees and amounts),Information Website,APPLICATION WEBSITE,Where are they based?,HII Grant Application Draft Link,<2026 Notes (History),Funding Ranking (Importance),Deadline Ranking (Urgency),Current Status,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Review Priority Score,Application Priority Score,Program Matches,Next Deadline,Next Deadline ISO,Missing Deadlines,Missing Sites,LOI Date ISO,App Date ISO
Climate Smart Communities Initiative,Open,Relevant,,"March 12, 2026",,Project-based,"$75,000.00","$115,000.00","$95,000.00",,Must have a 3-way partnership with local/regional government and a climate scientist,POTENTIAL FUNDER, ,,Sammy,2/13/2026,MEDIUM,USA,False,False,False,False,False,False,False,False,False,False,False,,"climate adaptation professionals to create or advance a climate resilience plan or project in collaboration with a community that is on the front lines of the climate crisis. The community should be represented in the application and effort by a community-based organization and a local, regional or Tribal government entity, as defined below.  ",,https://climatesmartcommunity.org/funding/,https://www.surveymonkey.com/r/community-sign-up ,,,"Check back in later in 2025 (Andrew 8/2025)

Cover any step in the Steps to Resilience: understand exposure, assess vulnerability and rist, investigate options, prioritize and plan, take action (Ella 2/2025)",Medium,-63.0,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,0,,,True,False,,
Climate Story Fund,Expected,Relevant,,,expected to open late february -late march 2026,,"$50,000.00","$125,000.00","$87,500.00",,,POTENTIAL FUNDER, ,,Sammy,2/13/2026,MEDIUM,International,False,False,False,False,False,False,False,True,False,False,False,YAC,"The organization supports compelling independent media storytelling and impact strategies from around that world that can help audiences envision the just transition, and activate them to make these visions a reality. We believe investing in culture is a solution to address the climate emergency.","Climate Story Labs, Doc Society",https://climatestoryunit.org/apply/,,,,We passed applying in 2024 since YAC would have to apply independently of HII and they did not feel they could do it given the tight deadline. (Jolly 3.6.25),Medium,,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,1,,,True,False,,
Edward John Noble Foundation Inc.,Rolling,Relevant,,,,,"$10,000.00","$300,000.00","$155,000.00",,"LOI Includes: 
-Organizational Description: Nature and purpose of HII.
-Project Statement: A concise statement of the need, objectives, and methods for the project.
-Personnel: Qualifications of the key staff (e.g., Tara DePorte and lead artists).
-Budget: A clear program budget.
-Other Support: A list of other funders already committed or being sought.
-IRS Rulings: Your 501(c)(3) and 509(a) status letters.
-Financials: Your most recent annual audit or financial statement.
-Board List: A list of HII’s officers and directors.",POTENTIAL FUNDER, ,,Sammy,2/13/2026,MEDIUM,NYC,False,False,True,False,True,False,True,False,True,False,False,"CCA, General Support, Internships, Workshops",Educational programs. Management of training internships. Art Festivals,"Dorset Theatre Festival, American Museum of Natural History, St. Catherine's Island Foundation",https://fconline.foundationcenter.org/fdo-grantmaker-profile/?key=NOBL001,,,,"Can't find website, info from foundation/grant websites/Candid",Medium,,Relevant - Rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,4,,,True,False,,
Honda Foundation,Rolling,Relevant,,,,Project-based,"$25,000.00","$100,000.00","$62,500.00",,Not eligible for community event sponsorship because not one of the counties they serve,POTENTIAL FUNDER, ,,Sammy,2/13/2026,MEDIUM,United States,True,False,False,False,True,False,False,False,False,False,False,"All, General Support",nonprofits and schools that align with pillar award catagories which change every application cycle.,,https://csr.honda.com/longform-content/honda-usa-foundation-funding/,,USA,,"Need to check availability as Honda does not fund ""Institutions located outside the U.S. or those whose funds are used outside the U.S.""",Medium,,Relevant - Rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,2,,,True,False,,
John Templeton Foundation ,Expected,Relevant,,,"OFI from late spring 2026-mid-august 2026
Full proposal by invitation by Jan 2027",Project-based,"$15,000.00","$800,000.00","$407,500.00",,,POTENTIAL FUNDER,programofficer@templeton.org ,,Sammy,2/13/2026,MEDIUM,National/International,False,False,False,False,False,False,False,False,False,False,False,,"The Foundation offers grants in support of research and public engagement in our major Funding Areas. We invest in bold ideas from contrarian thinkers — ideas that cross disciplinary boundaries and challenge conventional assumptions. And we fund innovative programs that engage the public with these ideas, in an effort to open minds, deepen understanding, and inspire curiosity.","University of Pittsburgh $2,000,000
Pew Charitable Trusts $3,315,000
The Aspen Institute Inc $260,073
Brookings Institution $870,775
Mercatus Center, Inc $1, 498,441",https://www.templeton.org/grants ,https://www.templeton.org/grants/apply-for-grant ,"West Conshohocken, PA",,"Mainly funds research

No change in funding priorities (research)",Large,,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,0,,,True,False,,
Kornfeld Foundation,Rolling,Relevant,,,Ongoing,"Project-based, General Operating Support","$15,000.00","$75,000.00","$45,000.00",,,POTENTIAL FUNDER, ,,Sammy,3/17/2026,MEDIUM,NYC,False,False,False,False,True,False,False,False,False,False,False,General Support,"Changemaking organizations in New York City and beyond, expanding equity and action through arts education and civic engagement.","Arts Connection
Arts in Education Rountable
Brooklyn Museum
Girl Be Heard
Marquis Studios",www.kornfeldfdn.org,https://www.kornfeldfdn.org/apply,NYC,,"If you are a first-time applicant, please submit a short (2-3 pages) letter of introduction to office@kornfeldfdn.org
You may submit a proposal that you have used for any similar past request.",Small,,Relevant - Rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,1,,,True,False,,
National Geographic Foundation,Open,Relevant,,"April 15, 2026","Round 2 due Oct. 20, 2026",Project-based,"$20,000.00","$100,000.00","$60,000.00",,,APPLIED BUT NOT RECEIVED, ,,Sammy,3/17/2026,MEDIUM,International ,False,False,False,False,True,False,False,False,True,True,True,"General Support, Workshops, Salons, Stories","Currenty offering a Freshwater Storytelling grant:  Looking to support storytellers (through modes of photography, film, art, video, written word, mapmaking) who work to display the challenges facing communities and peoples who don't have access to freshwater",,https://www.nationalgeographic.org/society/grants-and-investments/?nav_click,https://www.nationalgeographic.org/society/grants-and-investments/rfp-freshwater/,,,"No current grants that fit our mission, but it appears that RFPs are frequent. Worth checking back more regularly (Andrew 8/2025)

There are both Level I and Level II grants available.
Level I Grants (Explorer Community) are designed for individuals who may be earlier in their career, but you cannot reapply once granted. 
You may submit a proposal as the project leader for only one project at a time and only through an online portal.",Medium,-29.0,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,4,,,True,False,,
NYS DEC Grants- Hudson River Estuary,Expected,Relevant,,08/07/2026,Opens July 2026,,"$20,000.00","$100,000.00","$60,000.00",,Must be pre-qualified in SFS before app deadline,POTENTIAL FUNDER, ,,Sammy,3/17/2026,MEDIUM,"NYC,  Estuary Watershed Boundaries ",False,False,False,True,False,False,False,False,False,False,False,UEHL,Water quality. Enhance environment education and river access. Advance stewardship of habitat and natural resources.,,"https://dec.ny.gov/nature/waterbodies/oceans-estuaries/hudson-river-estuary-program/grants-funding-opportunities#:~:text=Since%201999%2C%20DEC's%20Hudson%20River,of%20habitat%20and%20natural%20resources.",https://grantsmanagement.ny.gov/,New York,,"Check back later in the year (Andrew 8/2025)

Must be registered in NYS Grants Management. Tara knows the Regional Director of DEC (circa 2013), Venetia Lannon.  Would be good to let her know of any DEC-related applications we are doing and for some mentoring, etc ",Medium,85.0,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,41.0,1,2026-08-07,2026-08-07,False,False,,2026-08-07
NYSP2I (The New York State Pollution Prevention Institute),Expected,Relevant,,4/18/2026,expected to open in late spring 2026,Project-based,"$10,000.00","$20,000.00","$15,000.00",,,POTENTIAL FUNDER,"Corn Hill Waterfront and Navigation Foundation, Fall Kill Creek Project, Onondaga Country Recovery Agency ",,Sammy,3/17/2026,MEDIUM,NY,True,False,True,True,False,True,False,False,True,True,True,"All, CCA, UEHL, Fellowship, Workshops, Salons, Stories","Community Grants Program
NYSP2I awards funding to support projects that raise awareness and understanding and lead to the implementation of pollution prevention practices and/or behaviors at the local level with the goal of improving the health, environmental quality, and economic vitality of communities in New York State.",,https://www.rit.edu/affiliate/nysp2i/funding,,,,"""Please check back in early 2026 for information on our next application period."" (Andrew 8/2025)

Have logo. Received grant for 2015, applied again for 2016. (Ava 1/2025)",Small,-26.0,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,57.0,7,2026-04-18,2026-04-18,False,False,,2026-04-18
Solutions Search Contest,Open,Relevant,,,Next round opens August/Sep 2026,"Unrestricted , General Operating Support","$5,000.00","$25,000.00","$15,000.00",,,POTENTIAL FUNDER, ,,Sammy,3/17/2026,LOW,Global ,False,False,True,True,False,True,False,False,False,True,False,"CCA, UEHL, Fellowship, Salons","The contests focus on solutions to the world's most pressing environmental issues. Past contests addressed topics like:
1. Sustainable fisheries
2. Climate change adaptation
3. Water pollution and behavior change","1. Farming for Biodiversity Contest Winners: A Growing Culture (Hanoi, Vietnam), People's Choice Award: Apis Agribusiness (https://solutionsearch.org/contests/farming-biodiversity)
2. Climate Change Needs Behavior Change Contest Winners: Grand Prize: 1 Million Women (https://solutionsearch.org/contests/climate-change-needs-behavior-change)",https://solutionsearch.org/solutions-already-exist,,,,Perhaps they've closed? (Andrew 8/2025),Small,,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,4,,,True,False,,
Tiffany & Co. Foundation ,Open,Relevant,5/1/2026,8/1/2026,Cycle 2: LOI due 11/1/2026 and app due 2/14/2027,Project-based,"$25,000.00","$100,000.00","$62,500.00",,,POTENTIAL FUNDER, ,,Sammy,3/17/2026,MEDIUM,International,False,False,True,False,False,False,False,False,True,True,False,"CCA, Workshops, Salons","The Foundation is committed to ocean conservation including large scale marine protection, coastal conservation, coral restoration and blue carbon exploration. As impacts of climate change accelerate, we are strengthening our commitment to protecting the planet by leading with purpose, innovation and love. The Foundation has supported organizations around the world in the areas of Ocean Conservation, Responsible Mining, Urban Parks and the Decorative Arts. ",https://www.tiffanyandcofoundation.org/grants.html,https://www.tiffanyandcofoundation.org,https://www.tiffanyandcofoundation.org/how-to-apply.html,,,"Grants seem to go to large organizations (Andrew 8/2025) 

On the Board of Environmental Grantmakers Association. (Ava 2/2025)",Medium,-13.0,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,40.0,3,2026-05-01,2026-05-01,False,False,2026-05-01,2026-08-01
Kresge Foundation,Expected,Relevant,,,Look out for opening of Request for Proposal ,"Project-based, General Operating Support","$20,000.00","$900,000.00","$460,000.00",,,POTENTIAL FUNDER, ,,Sammy,3/17/2026,NO,"National (focus on Detroit, Memphis, New Orleans, and Fresno)",False,True,False,True,True,False,False,True,True,True,True,"C3 Lab, UEHL, General Support, YAC, Workshops, Salons, Stories","The Kresge Foundation prioritizes initiatives that contribute to a more equitable and prosperous future in cities. Their focus areas include:
1. Arts & Culture: Programs that enhance access to arts and culture for diverse communities.
2. Education: Initiatives that promote educational equity and success for all.
3. Environment: Projects that address climate change, promote sustainability, and advance racial and economic justice.
4. Health: Programs that improve access to quality healthcare and promote healthy communities.
5. Human Services: Initiatives that support basic needs, strengthen families, and create pathways to opportunity.
6. Community Development: Projects that revitalize neighborhoods, create affordable housing, and foster economic development.",,https://kresge.org/grants-social-investments/current-funding-opportunities/,https://kresge.org/grants-social-investments/how-to-apply/,,,"LOI first; Funding opportunities take three forms:

Open on an ongoing basis, without deadlines.
Open for a limited time, with specific deadlines.
By invitation from a Kresge program officer.­­­

http://kresge.org/opportunities

2014 Initiative on climate resiliency was a good potential match for HII, but the foundation is interested in full-time paid staff and a larger org. Doesn't fund environmental education",Large,,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,7,,,True,False,,
Draper Richards Kaplan Foundation,Rolling,Relevant,,,Rolling,Unrestricted,"$5,000.00","$300,000.00","$152,500.00",,No organisations that are similar to ours have been funded in the past but we fit their requirements very well,,,,Sammy,2/6/2026,,,,,,,,,,,,,,,Social and climate justice organisations helping underserved communities ,"Solar APP+ (help convert to solar)
Community Builders (on ground community infrastructure help)
Adventure scientists (environmental research)",https://www.drkfoundation.org,https://www.tfaforms.com/4887099,Global,,,Medium,,Relevant - Rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,0,,,True,False,,
Stanley 1913 Creators Fund,Expected,Relevant,,,Opens in August and deadline in September 2026,Unrestricted,,"$50,000.00","$50,000.00",,,,,,Sammy,2/6/2026,,Global,,,,,,,,,,,,All,"Orgs working at the intersection of humanity, sustainability, and possibility ","Start: empowerment (fund their environmental justice fellowship)
Tela Coral (research and coral restoration in Honduras)",https://www.stanley1913.com/pages/stanley-1913-creators-fund-2025,,,,,Medium,,Relevant - Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,0,,,True,False,,
Vilcek Foundation,Open,,,04/30/2026,need to get access through the portal to see what the grant is for and how to apply,,$500.00,"$100,000.00","$50,250.00",,,,,,Robine,2/23/2026,,USA,False,False,True,False,True,False,False,False,True,True,True,"CCA, General Support, Workshops, Salons, Stories","The Vilcek Foundation invites applications for grants to support nonprofit organizations that work with immigrant artists and communities, and that promote diversity in the arts, sciences, education, and humanities. A portion of the foundation’s grants are identified and initiated directly by the Vilcek Foundation. The Vilcek Foundation’s grants empower nonprofits to expand their reach, engage diverse audiences, and advance their missions. The foundation is committed to working with organizations that exemplify best practices in their field and demonstrate dedication to the communities they serve.","Asia Art Archive in America - $20k
Hawai'i Youth Symphony Association-$20k
New York Foundation for the Arts - $20K
NYU Institute of Fine Arts - $30K
",https://vilcek.org/grants/,https://portal.vilcek.org/grantportal/s/login/?ec=302&startURL=%2Fgrantportal%2Fs%2F%3F_gl%3D1*epgerc*_gcl_au*MTMwODY3NzE0Ni4xNzM3NzM0ODk3*_ga*MTY4Mjg0NTYzNy4xNzM3NzM0ODk3*_ga_PMRH1P23GE*MTczNzczNDg5Ny4xLjEuMTczNzczNTQyMC4wLjAuMA..*_ga_2V5DYM0WCN*MTczNzczNDg5Ny4xLjEuMTczNzczNTQyMC41OS4wLjE0Mzg2MzM5NA..,NYC,,"Grants accepted year-round. Open call cycle for grant applications extends until June 30, 2025. Applicants are notified of their status after June 30, 2025 ",Medium,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,35.0,5,2026-04-30,2026-04-30,False,False,,2026-04-30
EarthShot,Open,Relevant,,4/15/2026,,Project-based,,"$100,000.00","$100,000.00",,,,,,Sammy,4/14/2026,,Northeast USA,,,,,,,,,,,,,"""Award recipients must demonstrate bold vision and innovation in seeking to address a climate or conservation challenge along one of the five pillars of the Earthshot Prize: Protect and Restore Nature; Clean Our Air; Revive Our Oceans; Build a Waste-free World; and/or Fix Our Climate.""",,https://www.jfklibrary.org/events-and-awards/earthshot-innovation-challenge-northeast-us-edition/faq,https://my.reviewr.com/s2/site/earthshotinnovationchallenge26,,,,Medium,-29.0,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,20.0,0,2026-04-15,2026-04-15,False,False,,2026-04-15
Carmack Collective,Open,Relevant,,,,Trust-based funding,"$50,000.00","$50,000.00","$50,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,,Relevant - Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,0,,,True,True,,
